corigin,newco
2,TUR
3,EXY
4,SEU
5,SEU
6,SEU
10,OEU
11,OEU
12,OEU
13,OEU
14,OEU
15,OEU
16,OEU
17,OEU
18,OTH
19,OEU
20,OTH
21,OEU
22,OEU
23,ASI
24,WAS
25,ASI
26,OEU
27,OTH
28,SEU
29,OEU
30,WAS
31,OEU
32,FSU
34,OTH
35,OTH
37,AFR
38,ASI
39,WAS
40,ASI
41,OTH
42,ASI
43,WAS
44,ASI
45,OTH
46,WAS
47,AFR
48,OTH
49,AFR
50,ASI
51,OTH
52,AFR
53,AFR
54,AFR
55,OTH
56,OTH
57,AFR
59,OTH
60,WAS
61,OTH
63,ASI
64,OTH
65,ASI
66,ASI
67,AFR
68,ASI
71,OEU
73,FSU
74,FSU
75,OEU
76,WAS
77,FSU
78,FSU
79,AFR
80,AFR
81,AFR
82,FSU
83,ASI
84,AFR
85,ASI
86,AFR
87,WAS
88,OTH
89,AFR
90,AFR
92,OTH
94,AFR
95,AFR
96,OTH
97,FSU
98,OTH
100,ASI
101,FSU
102,AFR
103,FSU
105,AFR
108,OTH
109,OTH
110,AFR
111,AFR
113,AFR
114,OTH
116,OEU
117,OEU
118,OEU
119,OEU
120,EXY
121,OEU
122,OEU
123,OEU
124,OTH
125,AFR
126,WAS
127,AFR
128,ASI
129,OTH
130,FSU
132,FSU
133,OTH
135,AFR
138,AFR
139,AFR
140,OEU
141,FSU
142,AFR
143,AFR
144,AFR
145,ASI
146,FSU
147,AFR
148,FSU
149,WAS
151,AFR
152,WAS
154,ASI
155,FSU
156,AFR
158,AFR
162,AFR
165,EXY
166,AFR
167,OTH
168,EXY
169,ASI
173,AFR
174,AFR
178,AFR
181,ASI
183,AFR
196,OEU
222,OEU
